title_id,reason,has_details_row,quality_flags
doktor-glas,TRULY_MISSING,True,
roman-krasnogo-feniksa,TRULY_MISSING,True,
novoispechennye-detektivy,TRULY_MISSING,True,
zloy-advokat,TRULY_MISSING,True,
mama-naprokat,TRULY_MISSING,True,
otdel-po-raskrytiyu-anomaliy,TRULY_MISSING,True,
realnaya-lyubov-5,TRULY_MISSING,True,
novoispechennye-detektivy-2,TRULY_MISSING,True,
palcem-v-kartu-tehas,TRULY_MISSING,True,
exo-bezumnoe-puteshestvie-po-chedzhu,TRULY_MISSING,True,
sestry-i-kurochka,TRULY_MISSING,True,
bezumnyy-tur,TRULY_MISSING,True,
shkatulka-dibbuka,TRULY_MISSING,True,
ubiystva-v-kruzhevah,TRULY_MISSING,True,
instinkt,TRULY_MISSING,True,
v-lovushke,TRULY_MISSING,True,
vopreki-tradiciyam,TRULY_MISSING,True,
brak,TRULY_MISSING,True,
mister-iks,TRULY_MISSING,True,
logovo,TRULY_MISSING,True,
arena-rezhissera,TRULY_MISSING,True,
krusheniya,TRULY_MISSING,True,
grezy-v-plenu-razuma,TRULY_MISSING,True,
uchenyy-iz-missisipi,TRULY_MISSING,True,
cvet-zla-chernyy,TRULY_MISSING,True,
futbolka-boga,TRULY_MISSING,True,
davay-lyubit,TRULY_MISSING,True,
put-zvezd-i-luny,TRULY_MISSING,True,
master-hogo,TRULY_MISSING,True,
videoray,TRULY_MISSING,True,
vosem-synovey,TRULY_MISSING,True,
krabolov,TRULY_MISSING,True,
zdes-ya-doma,TRULY_MISSING,True,
moya-lyubimaya-istoriya-lyubvi,TRULY_MISSING,True,
policeyskiy-uchastok-s-privedeniyami,TRULY_MISSING,True,
mulan-hua,TRULY_MISSING,True,
v-lovushke-2,TRULY_MISSING,True,
solnechnyy-klub,TRULY_MISSING,True,
serye-lyudi-2,TRULY_MISSING,True,
svetyaschiysya-obekt,TRULY_MISSING,True,
torgovlya-grehom,TRULY_MISSING,True,
zerkalnyy-labirint,TRULY_MISSING,True,
aktivy,TRULY_MISSING,True,
puzyri,TRULY_MISSING,True,
ispytanie,TRULY_MISSING,True,
hudey-i-molchi,TRULY_MISSING,True,
nikakih-zhenschin-nikakih-detey,TRULY_MISSING,True,
102-predlozhenie-ruki-i-serdca,TRULY_MISSING,True,
zavtra-ya-snova-polyublyu-tebya,TRULY_MISSING,True,
detektiv-vozvraschenie-k-nachalu,TRULY_MISSING,True,
istoriya-lyubvi-iz-treh-stran,TRULY_MISSING,True,
sibuya-15,TRULY_MISSING,True,
d-i-s-k-o,TRULY_MISSING,True,
krasnoe-i-chernoe,TRULY_MISSING,True,
ya-zamuzhem-v-adu,TRULY_MISSING,True,
pravda-otkroetsya,TRULY_MISSING,True,
rayon-chistoy-melodramy,TRULY_MISSING,True,
norvegiya-temnaya-loshadka,TRULY_MISSING,True,
ne-zabudu-tebya,TRULY_MISSING,True,
