domain,full_page,kind,path,url,viewport
animedia.space,False,collections,artifacts/evidence/animedia-visual-finalization-2026-09-19/AFTER_LIVE/animedia.space_collections_1440x1100.png,https://animedia.space/collections/,1440x1100
animedia.space,False,movie_summary,artifacts/evidence/animedia-visual-finalization-2026-09-19/AFTER_LIVE/animedia.space_movie_summary_1440x1100.png,https://animedia.space/title/nelyud-chast-2/,1440x1100
animedia.space,False,episodic_summary,artifacts/evidence/animedia-visual-finalization-2026-09-19/AFTER_LIVE/animedia.space_episodic_summary_1440x1100.png,https://animedia.space/title/master-lda-i-plameni-2/,1440x1100
animedia.space,False,footer,artifacts/evidence/animedia-visual-finalization-2026-09-19/AFTER_LIVE/animedia.space_footer_1440x1100.png,https://animedia.space/,1440x1100
animedia.space,True,home_full,artifacts/evidence/animedia-visual-finalization-2026-09-19/AFTER_LIVE/animedia.space_home_full_390x844.png,https://animedia.space/,390x844
animedia.space,False,new,artifacts/evidence/animedia-visual-finalization-2026-09-19/AFTER_LIVE/animedia.space_new_390x844.png,https://animedia.space/new/,390x844
animedia.space,False,catalog,artifacts/evidence/animedia-visual-finalization-2026-09-19/AFTER_LIVE/animedia.space_catalog_390x844.png,https://animedia.space/catalog/,390x844
animedia.space,False,collections,artifacts/evidence/animedia-visual-finalization-2026-09-19/AFTER_LIVE/animedia.space_collections_390x844.png,https://animedia.space/collections/,390x844
animedia.space,False,movie_summary,artifacts/evidence/animedia-visual-finalization-2026-09-19/AFTER_LIVE/animedia.space_movie_summary_390x844.png,https://animedia.space/title/nelyud-chast-2/,390x844
animedia.space,False,episodic_summary,artifacts/evidence/animedia-visual-finalization-2026-09-19/AFTER_LIVE/animedia.space_episodic_summary_390x844.png,https://animedia.space/title/master-lda-i-plameni-2/,390x844
animedia.space,False,footer,artifacts/evidence/animedia-visual-finalization-2026-09-19/AFTER_LIVE/animedia.space_footer_390x844.png,https://animedia.space/,390x844
animedia.space,False,new_p2,artifacts/evidence/animedia-visual-finalization-2026-09-19/AFTER_LIVE/animedia.space_new_p2_1440x1100.png,https://animedia.space/new/?page=2,1440x1100
animedia.space,False,catalog_year,artifacts/evidence/animedia-visual-finalization-2026-09-19/AFTER_LIVE/animedia.space_catalog_year_1440x1100.png,https://animedia.space/catalog/?year=2026,1440x1100
animedia.space,False,catalog_p2,artifacts/evidence/animedia-visual-finalization-2026-09-19/AFTER_LIVE/animedia.space_catalog_p2_1440x1100.png,https://animedia.space/catalog/?page=2,1440x1100
animedia.space,False,player_ep,artifacts/evidence/animedia-visual-finalization-2026-09-19/AFTER_LIVE/animedia.space_player_ep_1440x1100.png,https://animedia.space/title/master-lda-i-plameni-2/season-2/episode-104/,1440x1100
animedia.space,False,player_ep,artifacts/evidence/animedia-visual-finalization-2026-09-19/AFTER_LIVE/animedia.space_player_ep_390x844.png,https://animedia.space/title/master-lda-i-plameni-2/season-2/episode-104/,390x844
animedia.space,False,marker,artifacts/evidence/animedia-visual-finalization-2026-09-19/AFTER_LIVE/animedia.space_marker_1440x1100.png,https://animedia.space/,1440x1100
animedia.icu,,cache_reload,artifacts/evidence/animedia-visual-finalization-2026-09-19/AFTER_LIVE/animedia.icu_cache_reload_1440x900.png,,1440x900
animedia.space,,cache_reload,artifacts/evidence/animedia-visual-finalization-2026-09-19/AFTER_LIVE/animedia.space_cache_reload_1440x900.png,,1440x900
