domain,empty_tail,frame,host,iframe,overlay_visible,state,url,viewport
animedia.icu,0,"{'w': 1200, 'h': 675, 'ratio': 1.7777777777777777}","{'w': 1200, 'h': 675, 'fillW': 1, 'fillH': 1}",,0,active,https://animedia.icu/title/master-lda-i-plameni-2/season-2/episode-104/,1440x1100
animedia.icu,0,"{'w': 362, 'h': 203.625, 'ratio': 1.7777777777777777}","{'w': 362, 'h': 203.625, 'fillW': 1, 'fillH': 1}",,0,active,https://animedia.icu/title/master-lda-i-plameni-2/season-2/episode-104/,390x844
animedia.space,0,"{'w': 1200, 'h': 675, 'ratio': 1.7777777777777777}","{'w': 1200, 'h': 675, 'fillW': 1, 'fillH': 1}",,0,active,https://animedia.space/title/master-lda-i-plameni-2/season-2/episode-104/,1440x1100
animedia.space,0,"{'w': 362, 'h': 203.625, 'ratio': 1.7777777777777777}","{'w': 362, 'h': 203.625, 'fillW': 1, 'fillH': 1}",,0,active,https://animedia.space/title/master-lda-i-plameni-2/season-2/episode-104/,390x844
