exact_hash,group_size,slug_sample
c6f68260a67a8d196fc5c9dc9b4467e203d3588447b8b68171e99a19160eb58b,4,"yami-shibai-yaponskie-rasskazy-o-privideniyah-11,yami-shibai-yaponskie-rasskazy-o-privideniyah-14,yami-shibai-yaponskie-rasskazy-o-privideniyah-13,yami-shibai-yaponskie-rasskazy-o-privideniyah-12"
29370114e94ffead23ce1bc1a0d6a88b9228174489d0e93748c1bcfa201fe215,2,"sletet-s-katushek-2,sletet-s-katushek"
6d9294647b4b274565e0f0f0f0ceb8c437139e20e617e7e4fda80a19fe5d5975,2,"komnata-vozvraschaetsya,komnata"
0598dcad993287dade150c21595408674924807558741f53e39686c344cc514d,2,"chernyy-klever-2,chernyy-klever"
5b206cf5c317d9d5e01ae0acecedf18a4943708181aa1aca47936fff01089abe,2,"istinnye-chudotvornye-rycari-chast-2,istinnye-chudotvornye-rycari"
a7633b286c277c3d2fac1b589e30226f9bf14ae3016e4bb90a52e5c92236c396,2,"blich-tysyacheletnyaya-krovavaya-voyna-bedstvie-2,blich-tysyacheletnyaya-krovavaya-voyna"
5b1e2279476ef9af5f7610905581e555d72a7ebbfe2e6de2167493b828219c78,2,"voennaya-hronika-malenkoy-devochki-2,voennaya-hronika-malenkoy-devochki"
76dc3fde070d98fda8499fa0cd48b1793e25d4450fac418a7f25772168d3ae00,2,"koroleva-stavshaya-prichinoy-tragedii-sdelaet-dlya-naroda-vse-chto-v-ee-silah-2,koroleva-stavshaya-prichinoy-tragedii-sdelaet-dlya-naroda-vse-chto-v-ee-silah"
8bb09700745c4761f184def10af418c5113a3ed65e6d7253214ffb043c97754d,2,"mech-i-zhezl-vistorii-rekap,za-predelom-proshloe"
4c39253e955b35bffe3f6a097f527a583064320a49ccb83a442e838676038237,2,"priklyucheniya-vinni-puha,novye-priklyucheniya-medvezhonka-vinni-i-ego-druzey"
c7e1d2a2a257099ea9f6bb3db9b5de34b36a8b18bc34ea62dcc1a0dd2a2c8709,2,"flag-nastoyaschego-prestupleniya-2,flag-nastoyaschego-prestupleniya"
cf73557af674eb6be735c0a5f82fb291cfba8ef389435a86f1ed4d0af8a35144,2,"nanoyadro-2,nanoyadro"
5fe037c98653d806003364077fb482a1e35efa42c7a16a2b49acc9afb36708a2,2,"ommedzi-istoriya-heyan-2,ommedzi-istoriya-heyan"
f572c9a97731a008173601edf757a855402135003311fe212994ef104923e3e4,2,"spasateli-malibu,spasateli-malibu-3"
