site_key,source_element,source_href,requested_url,normalized_url,status,final_url,response_time_ms,error_class,build,artifact_hdr,shown_count,error
lords-03,seed,/catalog/?genre=komediya&sort=rating,https://1lordserials1.online/catalog/?genre=komediya&sort=rating,https://1lordserials1.online/catalog/?genre=komediya&sort=rating,200,https://1lordserials1.online/catalog/?genre=komediya&sort=rating,138,ok,20260910T124530Z-a1691c56-nova,9229879ee5ab04eb68a59a98d9aeb1c6e3b745de7125c984756787790b0d6bbd,14913,
lords-03,seed,/country/%D0%B2%D0%B5%D0%BB%D0%B8%D0%BA%D0%BE%D0%B1%D1%80%D0%B8%D1%82%D0%B0%D0%BD%D0%B8%D1%8F/,https://1lordserials1.online/country/%D0%B2%D0%B5%D0%BB%D0%B8%D0%BA%D0%BE%D0%B1%D1%80%D0%B8%D1%82%D0%B0%D0%BD%D0%B8%D1%8F/,https://1lordserials1.online/country/%D0%B2%D0%B5%D0%BB%D0%B8%D0%BA%D0%BE%D0%B1%D1%80%D0%B8%D1%82%D0%B0%D0%BD%D0%B8%D1%8F/,404,https://1lordserials1.online/country/%D0%B2%D0%B5%D0%BB%D0%B8%D0%BA%D0%BE%D0%B1%D1%80%D0%B8%D1%82%D0%B0%D0%BD%D0%B8%D1%8F/,14,internal_link_404,20260910T124530Z-a1691c56-nova,9229879ee5ab04eb68a59a98d9aeb1c6e3b745de7125c984756787790b0d6bbd,,HTTP 404
lords-03,seed,/country/velikobritaniya/,https://1lordserials1.online/country/velikobritaniya/,https://1lordserials1.online/country/velikobritaniya/,404,https://1lordserials1.online/country/velikobritaniya/,14,internal_link_404,20260910T124530Z-a1691c56-nova,9229879ee5ab04eb68a59a98d9aeb1c6e3b745de7125c984756787790b0d6bbd,,HTTP 404
lords-03,seed,/catalog/?country=%D0%B2%D0%B5%D0%BB%D0%B8%D0%BA%D0%BE%D0%B1%D1%80%D0%B8%D1%82%D0%B0%D0%BD%D0%B8%D1%8F,https://1lordserials1.online/catalog/?country=%D0%B2%D0%B5%D0%BB%D0%B8%D0%BA%D0%BE%D0%B1%D1%80%D0%B8%D1%82%D0%B0%D0%BD%D0%B8%D1%8F,https://1lordserials1.online/catalog/?country=%D0%B2%D0%B5%D0%BB%D0%B8%D0%BA%D0%BE%D0%B1%D1%80%D0%B8%D1%82%D0%B0%D0%BD%D0%B8%D1%8F,200,https://1lordserials1.online/catalog/?country=%D0%B2%D0%B5%D0%BB%D0%B8%D0%BA%D0%BE%D0%B1%D1%80%D0%B8%D1%82%D0%B0%D0%BD%D0%B8%D1%8F,63,ok,20260910T124530Z-a1691c56-nova,9229879ee5ab04eb68a59a98d9aeb1c6e3b745de7125c984756787790b0d6bbd,,
lords-03,seed,/catalog/?country=velikobritaniya,https://1lordserials1.online/catalog/?country=velikobritaniya,https://1lordserials1.online/catalog/?country=velikobritaniya,200,https://1lordserials1.online/catalog/?country=velikobritaniya,13,ok,20260910T124530Z-a1691c56-nova,9229879ee5ab04eb68a59a98d9aeb1c6e3b745de7125c984756787790b0d6bbd,,
lords-03,expected_404,/this-route-does-not-exist-audit-404/,https://1lordserials1.online/this-route-does-not-exist-audit-404/,https://1lordserials1.online/this-route-does-not-exist-audit-404/,404,https://1lordserials1.online/this-route-does-not-exist-audit-404/,13,expected_404,20260910T124530Z-a1691c56-nova,9229879ee5ab04eb68a59a98d9aeb1c6e3b745de7125c984756787790b0d6bbd,,HTTP 404
lords-03,legacy,/films/,https://1lordserials1.online/films/,https://1lordserials1.online/films/,404,https://1lordserials1.online/films/,14,internal_link_404,20260910T124530Z-a1691c56-nova,9229879ee5ab04eb68a59a98d9aeb1c6e3b745de7125c984756787790b0d6bbd,,HTTP 404
lords-03,legacy,/cartoons/,https://1lordserials1.online/cartoons/,https://1lordserials1.online/cartoons/,404,https://1lordserials1.online/cartoons/,14,internal_link_404,20260910T124530Z-a1691c56-nova,9229879ee5ab04eb68a59a98d9aeb1c6e3b745de7125c984756787790b0d6bbd,,HTTP 404
lords-03,legacy,/schedule/,https://1lordserials1.online/schedule/,https://1lordserials1.online/schedule/,308,https://1lordserials1.online/schedule/,14,redirect,,,,HTTP 308
lords-03,legacy,/genres/,https://1lordserials1.online/genres/,https://1lordserials1.online/genres/,308,https://1lordserials1.online/genres/,17,redirect,,,,HTTP 308
